user_id,user_email,user_registration_dt,user_city,client_id
1425,anilidic1822@outlook.com,2020-06-23,Екатеринбург,1120163048-362459827
1429,bornagain1847@gmail.com,2020-08-15,Санкт-Петербург,830333202-483914880
1434,engluts2049@yahoo.com,2020-03-07,Новосибирск,28897314-329863990
1436,hedgehog2019@live.com,2020-09-04,Москва,1238119072-242362229
1439,chinook1914@yahoo.com,2020-06-29,Москва,977210465-54763416
1443,snakemouths1913@outlook.com,2020-01-22,Москва,1173856053-102092985
1446,metaluminic1838@gmail.com,2020-02-14,Екатеринбург,704990561-1223736114
1451,guidage1946@yahoo.com,2020-07-01,Москва,921379771-1264690045
1453,carambole2027@outlook.com,2020-11-23,Москва,880071473-301964486
1456,syed1827@outlook.com,2020-02-29,Самара,138964270-1288087407
1460,climbed1855@protonmail.com,2020-03-06,Санкт-Петербург,138964270-1288087407
1465,externity1945@gmail.com,2020-03-12,Санкт-Петербург,138964270-1288087407
1469,larcenies1978@live.com,2021-01-03,Санкт-Петербург,1671120003-67158086
1474,arles1838@gmail.com,2020-02-03,Москва,1100168614-183123230
1477,blaze2060@protonmail.com,2020-12-01,Омск,994884616-1542585168
1482,thumps2055@gmail.com,2020-12-07,Омск,994884616-1542585168
1486,socked1859@live.com,2020-02-13,Москва,1738998012-983347486
1494,headsmen2057@protonmail.com,2020-12-19,Москва,428280330-1978727448
1497,designers1919@outlook.com,2020-01-16,Москва,662349354-303635176
1501,unniceness2032@yahoo.com,2020-06-10,Москва,396923796-2010190019
1506,crista2005@outlook.com,2020-08-01,Санкт-Петербург,222937159-268586136
1510,ballsy1949@yandex.com,2020-01-21,Казань,469942824-354775299
1511,arylate1988@outlook.com,2020-05-17,Москва,358580626-1983789785
1515,wingy1831@outlook.com,2020-09-20,Москва,452852580-1046060999
1519,apodeictical1922@yandex.com,2020-09-12,Москва,796501343-270247722
1524,hypoergic2022@protonmail.com,2020-09-13,Омск,796501343-270247722
1528,jacanas1903@yahoo.com,2020-05-09,Новосибирск,1187163719-46523914
1530,milliweber2015@yahoo.com,2020-05-30,Новосибирск,1190192886-1221639220
1531,spiritually1937@gmail.com,2020-05-09,Ростов-на-Дону,1117544244-257159253
1533,adamant2032@yahoo.com,2020-01-20,Москва,1884408493-2138059121
1536,fettuccine1886@yahoo.com,2020-07-31,Челябинск,91490093-1408602947
1538,protrusile1899@protonmail.com,2020-07-05,Москва,1876208458-898625022
1540,exophasic1837@yandex.com,2020-03-13,Москва,673803029-20689057
1544,stele2040@yandex.com,2020-03-31,Санкт-Петербург,1279355983-1055932011
1549,kentrogon2015@yahoo.com,2020-04-02,Москва,1279355983-1055932011
1554,animations2024@live.com,2020-04-27,Москва,1865042589-1755215372
