,Postal Code,First Name,Last Name,Email,Country,Source,Date
0,83962,Amy,Gonzalez,richard16@johnson-barry.info,India,Google,2023-05-27
1,40895,John,Cook,operez@cook-flores.com,Germany,Facebook,2024-03-01
2,87670,Mary,Wong,carol47@porter-norris.com,India,Google,2024-06-22
3,50815,Miguel,Stark,booneemily@yahoo.com,Japan,Facebook,2024-03-26
4,70292,Charles,Mccarty,jamesmichael@carter-nelson.org,USA,Instagram,2024-10-12
5,80622,Robert,Ortiz,hcabrera@henderson-li.net,Australia,Twitter,2024-04-28
6,63785,Tina,Dougherty,nflynn@yahoo.com,Germany,Twitter,2024-03-17
7,80511,Rebekah,Miller,powellreginald@yahoo.com,USA,Twitter,2023-01-27
8,33419,Jeff,Becker,gwilliams@lee.org,India,LinkedIn,2024-05-30
9,70348,Theresa,Robinson,jstrickland@yahoo.com,Japan,Email Campaign,2023-06-29
10,5712,Matthew,Wall,campbellroberto@gray.com,Germany,Twitter,2023-07-13
11,23446,Samantha,Lindsey,gacosta@tanner.com,France,LinkedIn,2024-04-19
12,20283,Martin,Mcneil,millermiguel@pierce-pitts.net,France,Email Campaign,2023-07-25
13,44789,Brenda,Martinez,harrisjohnathan@hotmail.com,UK,Facebook,2024-10-07
14,69588,Steven,Carroll,mduncan@yahoo.com,USA,Facebook,2023-11-27
